id_product;quantity_in_stock;pallet_space;posting_date
1;49;r05k10p02;2024-02-27
1;15;r04k08p01;2024-03-20
1;25;r05k10p01;2024-03-24
1;84;r03k01p03;2024-02-09
1;76;r05k01p01;2024-03-10
2;42;r01k07p02;2024-03-09
2;99;r02k02p02;2024-02-11
2;51;r03k05p01;2024-03-19
3;81;r02k10p03;2024-01-30
3;29;r03k02p01;2024-02-19
3;57;r04k05p03;2024-01-30
4;68;r05k02p02;2024-03-11
4;54;r03k01p02;2024-03-01
4;14;r03k06p01;2024-02-04
4;19;r03k07p02;2024-02-20
5;90;r04k05p02;2024-01-27
5;39;r05k05p01;2024-03-15
6;96;r03k03p01;2024-03-06
6;15;r02k04p01;2024-03-08
6;67;r04k10p03;2024-02-05
6;34;r01k04p03;2024-02-15
7;20;r02k07p03;2024-03-06
7;58;r02k08p01;2024-02-06
7;49;r03k07p01;2024-02-05
8;12;r01k02p02;2024-02-08
8;62;r01k04p01;2024-02-05
9;38;r02k10p02;2024-02-08
9;68;r01k08p02;2024-02-24
10;75;r01k08p01;2024-03-18
10;80;r02k08p02;2024-02-27
11;59;r05k08p01;2024-02-01
11;33;r05k08p02;2024-01-28
11;10;r03k10p03;2024-01-28
12;19;r01k02p02;2024-02-19
12;67;r05k03p01;2024-03-14
12;86;r05k05p01;2024-02-15
13;94;r04k06p01;2024-01-31
13;16;r04k07p02;2024-02-24
14;70;r05k08p01;2024-02-16
14;17;r02k05p03;2024-02-24
15;60;r05k08p03;2024-03-03
15;11;r02k05p03;2024-02-16
15;43;r02k10p03;2024-02-08
15;80;r01k09p03;2024-02-17
16;25;r03k06p03;2024-01-30
16;47;r02k10p02;2024-02-16
16;63;r01k02p01;2024-02-25
17;76;r02k02p01;2024-03-10
17;27;r03k10p02;2024-03-15
18;72;r02k08p03;2024-03-14
18;43;r04k05p01;2024-03-25
18;80;r02k09p02;2024-02-15
18;89;r02k06p01;2024-02-25
18;46;r01k08p03;2024-02-12
19;61;r01k10p02;2024-03-24
19;28;r04k02p02;2024-02-22
19;47;r05k04p03;2024-03-11
20;16;r05k10p02;2024-01-27
20;74;r04k03p02;2024-02-19
20;17;r05k02p03;2024-02-21
20;96;r01k08p02;2024-02-27
20;12;r02k10p02;2024-02-12
21;40;r03k07p02;2024-02-07
21;56;r02k06p02;2024-02-16
21;92;r02k02p01;2024-03-21
21;79;r02k04p02;2024-03-24
22;94;r02k04p03;2024-03-19
22;29;r05k02p03;2024-03-14
22;94;r02k01p01;2024-02-03
22;34;r05k06p01;2024-02-23
23;100;r05k04p01;2024-01-31
23;29;r04k04p02;2024-02-14
23;66;r02k09p02;2024-02-27
23;75;r04k09p02;2024-03-12
24;42;r05k03p02;2024-02-28
24;16;r01k09p01;2024-03-19
24;48;r03k03p01;2024-03-22
25;15;r01k10p02;2024-03-26
25;12;r01k05p02;2024-03-04
25;57;r02k03p02;2024-02-29
25;85;r01k09p02;2024-03-15
25;68;r01k06p02;2024-03-11
26;84;r05k02p02;2024-03-23
26;84;r03k03p02;2024-02-14
26;44;r04k01p02;2024-03-02
26;18;r01k05p02;2024-02-12
26;49;r05k08p01;2024-02-15
27;81;r02k06p01;2024-02-24
27;95;r03k05p03;2024-03-14
27;61;r04k09p01;2024-03-09
27;29;r05k04p02;2024-02-14
28;30;r05k10p02;2024-02-16
28;95;r02k08p03;2024-03-24
28;73;r05k07p01;2024-01-27
28;49;r01k01p03;2024-02-10
29;94;r04k05p03;2024-03-21
29;22;r01k05p03;2024-02-27
29;53;r01k07p02;2024-03-15
29;41;r05k10p01;2024-03-25
29;53;r03k07p02;2024-03-19
30;46;r04k07p01;2024-03-25
30;69;r02k03p02;2024-02-07
30;69;r03k03p01;2024-01-28
30;32;r05k08p03;2024-03-16
30;89;r05k10p01;2024-02-22
31;54;r03k06p02;2024-03-13
31;32;r01k02p03;2024-03-20
32;11;r01k09p01;2024-02-25
32;34;r01k04p02;2024-02-03
33;43;r01k09p02;2024-02-29
33;55;r02k10p02;2024-03-14
33;74;r03k08p02;2024-03-21
33;24;r01k04p03;2024-02-28
34;15;r01k01p01;2024-02-02
34;16;r01k10p03;2024-01-30
34;71;r05k01p01;2024-01-31
34;32;r05k09p02;2024-02-24
34;87;r05k01p01;2024-02-15
35;20;r05k02p01;2024-02-05
35;20;r03k02p03;2024-02-28
35;67;r04k04p02;2024-02-24
36;70;r03k05p01;2024-01-30
36;45;r04k06p03;2024-03-14
36;13;r04k08p01;2024-03-25
36;42;r01k03p01;2024-01-30
36;66;r01k01p02;2024-02-18
37;78;r02k05p02;2024-03-12
37;36;r05k10p03;2024-02-14
37;94;r05k10p03;2024-02-05
37;27;r03k03p02;2024-02-02
38;30;r04k06p03;2024-02-24
38;75;r05k09p03;2024-03-13
38;57;r05k05p01;2024-03-12
38;87;r05k04p03;2024-02-10
38;64;r01k03p03;2024-01-28
39;81;r05k07p01;2024-03-19
39;54;r04k05p02;2024-03-14
39;100;r03k01p01;2024-02-11
40;98;r02k09p01;2024-02-06
40;52;r01k07p01;2024-02-18
40;14;r05k01p02;2024-02-23
40;66;r01k03p02;2024-03-25
40;23;r05k04p03;2024-01-28
41;57;r01k05p03;2024-02-28
41;93;r02k06p02;2024-03-16
41;17;r01k05p03;2024-02-22
41;45;r03k02p01;2024-02-05
41;60;r02k08p03;2024-02-09
42;92;r04k02p02;2024-02-07
42;79;r01k06p02;2024-03-16
43;56;r05k08p01;2024-03-19
43;96;r03k03p03;2024-02-14
44;24;r02k09p02;2024-02-07
44;13;r04k09p02;2024-02-04
44;49;r04k06p02;2024-02-07
44;85;r03k05p03;2024-02-19
44;90;r03k03p01;2024-03-20
45;33;r04k10p03;2024-02-21
45;12;r04k01p03;2024-03-14
45;41;r05k08p01;2024-02-06
45;17;r01k08p03;2024-02-03
46;32;r05k02p03;2024-02-16
46;96;r02k04p01;2024-02-04
47;92;r01k07p03;2024-01-28
47;42;r04k02p01;2024-02-29
47;60;r04k07p01;2024-03-02
47;79;r03k06p03;2024-03-08
48;67;r03k07p03;2024-01-28
48;58;r02k06p01;2024-02-19
48;14;r02k05p01;2024-03-25
49;52;r03k10p03;2024-03-11
49;56;r01k07p01;2024-03-03
49;33;r03k04p03;2024-02-20
49;28;r04k01p02;2024-02-23
50;72;r05k07p01;2024-02-01
50;94;r05k07p03;2024-02-28
50;33;r03k06p03;2024-03-05
50;31;r01k04p01;2024-02-15
50;26;r02k02p02;2024-02-03
51;51;r01k04p01;2024-03-18
51;76;r02k08p01;2024-03-13
51;98;r04k04p01;2024-02-18
51;27;r04k09p03;2024-02-04
51;54;r04k07p03;2024-02-09
52;71;r03k08p03;2024-03-22
52;100;r03k06p03;2024-02-26
52;58;r01k03p02;2024-02-03
52;100;r05k07p03;2024-03-06
53;16;r05k10p03;2024-02-22
53;92;r05k10p01;2024-03-06
53;36;r03k08p02;2024-03-17
53;34;r02k04p02;2024-03-08
53;38;r05k05p02;2024-03-17
54;63;r03k10p02;2024-02-21
54;59;r02k05p03;2024-03-15
54;95;r02k07p03;2024-03-08
54;44;r02k02p02;2024-03-04
54;52;r04k09p02;2024-02-08
55;86;r02k06p03;2024-01-30
55;64;r02k03p03;2024-02-17
55;14;r05k06p02;2024-03-08
55;99;r04k10p01;2024-02-16
56;77;r01k06p03;2024-02-12
56;19;r01k06p03;2024-03-13
56;73;r04k09p03;2024-03-25
56;39;r03k07p01;2024-02-09
57;66;r03k09p01;2024-02-03
57;25;r01k04p01;2024-03-07
57;38;r01k03p01;2024-02-20
58;27;r01k02p02;2024-02-18
58;97;r05k04p03;2024-03-24
58;96;r03k02p01;2024-03-21
58;28;r02k09p02;2024-02-08
59;19;r04k09p01;2024-03-24
59;76;r03k07p03;2024-03-14
60;62;r05k09p03;2024-03-18
60;83;r03k01p02;2024-02-21
60;32;r03k08p03;2024-02-20
60;78;r02k01p01;2024-02-08
60;84;r03k07p02;2024-03-07
